iso_code,country,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,continent,,Flag,,gdp_per_capita,,,,,
CHL,Chile,2020,81.171,4.246,,0.782,0.041,26.082,1.364,0.029,0.002,10.84,0.567,43.438,2.272,,,-5.76,-4.958,,,,,,2903.063,55.811,901.868,78.689,307.154,1559.541,,,0.23,0.05,0.19,0.01,0.15,0.39,,0.17,0.13,0.11,0.44,0.13,0.26,,,,,,,,,,19116209,15941,,,,South America,,,,15941,2022,13232,2020,13232,2020
CHN,China,2020,10667.887,7.412,,858.233,0.596,7421.101,5.156,,,605.254,0.42,1611.762,1.12,171.539,0.119,1.7,177.899,,,,,,235564.013,14804.851,177201.99,,6113.508,32685.039,4728.013,,30.65,52.77,53.1,,8.18,14.56,57.61,13.89,34.3,22.48,,2.49,5.52,50.55,,,,,,,,,1439323774,14096,,,,Asia,,,,14096,[n 1]2022,10229,[n 1]2020,10435,2020
CXR,Christmas Island,2020,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Oceania,,,,1,0,0,,,
COL,Colombia,2020,89.105,1.751,,5.306,0.104,21.682,0.426,0.96,0.019,24.716,0.486,36.441,0.716,,,-1.45,-1.314,,,,,,3399.103,184.174,745.256,60.957,641.682,1767.033,,,0.26,0.33,0.16,0.22,0.33,0.33,,0.2,0.43,0.09,0.34,0.26,0.3,,,,,,,,,,50882884,6807,,,,South America,,,,6807,2022,5333,2020,5333,2020
COM,Comoros,2020,0.258,0.297,,,,,,,,,,0.258,0.297,,,-15.49,-0.047,,,,,,5.302,,,,,5.302,,,0,,,,,0,,0,,,,,0,,,,,,,,,,869595,1371,,,,Africa,,,,1371,2022,1421,2020,1403,2020
COG,Congo,2020,3.117,0.565,,0.449,0.082,,,,,0.967,0.175,1.701,0.308,,,-5.3,-0.174,,,,,,78.481,3.484,,,9.256,59.993,,,0.01,0.03,,,0.01,0.02,,0,0.01,,,0,0.01,,,,,,,,,,5518092,3243,,,,Africa,,,,3243,2022,1830,2020,1973,2020
COK,Cook Islands,2020,0.079,4.522,,,,,,,,,,0.079,4.522,,,0.14,0,,,,,,2.196,,,,,2.196,,,0,,,,,0,,0,,,,,0,,,,,,,,,,17564,1,,,,Oceania,,,,1,,16135,2020,N/A,
CRI,Costa Rica,2020,7.907,1.552,,0.737,0.145,,,,,,,7.171,1.408,,,-10.33,-0.911,,,,,,255.062,21.388,,,,232.875,,,0.02,0.05,,,,0.06,,0.02,0.05,,,,0.04,,,,,,,,,,5094114,12483,,,,North America,,,,12483,2022,12077,2020,12141,2020
CIV,Cote d'Ivoire,2020,10.071,0.382,,,,,,,,4.248,0.161,5.823,0.221,,,-3.9,-0.409,,,,,,333.932,,,,76.662,257.27,,,0.03,,,,0.06,0.05,,0.02,,,,0.03,0.04,,,,,,,,,,26378275,2325,,,,Africa,,,,2325,,,,,
HRV,Croatia,2020,16.982,4.137,,1.184,0.288,1.39,0.339,0.204,0.05,5.436,1.324,8.624,2.101,0.144,0.035,-4.48,-0.797,,,,,,1078.544,56.876,140.502,18.303,201.443,655.83,5.591,,0.05,0.07,0.01,0.05,0.07,0.08,0.05,0.06,0.13,0.02,0.1,0.08,0.11,0.06,,,,,,,,,4105268,17338,,,,Europe,,,,17338,2022,13934,2020,14134,2020
CUB,Cuba,2020,20.152,1.779,,0.716,0.063,0.034,0.003,,,2.113,0.187,17.289,1.526,,,-10.53,-2.372,,,,,,1614.249,59.098,11.327,,41.555,1502.27,,,0.06,0.04,0,,0.03,0.16,,0.1,0.14,0,,0.02,0.25,,,,,,,,,,11326616,1,,,,North America,,,,1,,9478,2020,9478,2020
CUW,Curacao,2020,3.335,20.323,,,,,,,,0.116,0.71,3.219,19.614,,,-11.33,-0.426,,,,,,559.293,,,,1.032,558.261,,,0.01,,,,0,0.03,,0.03,,,,0,0.09,,,,,,,,,,164100,1,,,,North America,,,,1,,15819,2020,16746,2020
CYP,Cyprus,2020,6.496,5.38,,0.789,0.654,0.057,0.047,,,0,0,5.625,4.659,0.025,0.021,-11.5,-0.844,,,,,,293.026,33.114,3.883,,0.028,254.689,1.312,,0.02,0.05,0,,0,0.05,0.01,0.02,0.08,0,,0,0.04,0.01,,,,,,,,,1207361,30663,,,,Asia,,,,30663,2022,28133,2020,26624,2020
CZE,Czechia,2020,87.975,8.215,,1.977,0.185,46.844,4.374,0.081,0.008,17.648,1.648,20.123,1.879,1.302,0.122,-12.73,-12.838,,,,,,11917.74,93.954,9677.742,8.79,669.346,1420.29,47.618,,0.25,0.12,0.34,0.02,0.24,0.18,0.44,0.7,0.22,1.23,0.05,0.27,0.24,0.51,,,,,,,,,10708982,27609,,,,Europe,,,,27609,2022,22911,2020,22932,2020
COD,Democratic Republic of Congo,2020,2.477,0.028,,0.714,0.008,,,,,,,1.763,0.02,,,-7.86,-0.211,,,,,,193.184,14.001,,,,133.005,,,0.01,0.04,,,,0.02,,0.01,0.03,,,,0.02,,,,,,,,,,89561404,669,,,,Africa,,,,669,2022,506,2020,557,2020
DNK,Denmark,2020,26.195,4.522,,1.129,0.195,3.083,0.532,0.195,0.034,4.822,0.832,16.638,2.873,0.328,0.057,-15.22,-4.702,,,,,,4082.633,80.221,1841.879,18.682,273.12,1853.778,14.953,,0.08,0.07,0.02,0.04,0.07,0.15,0.11,0.24,0.19,0.23,0.1,0.11,0.31,0.16,,,,,,,,,5792203,68094,,,,Europe,,,,68094,2022,61477,2020,61063,2020
DJI,Djibouti,2020,0.351,0.356,,0.074,0.074,,,,,,,0.278,0.281,,,-12.66,-0.051,,,,,,18.91,0.558,,,,18.351,,,0,0,,,,0,,0,0,,,,0,,,,,,,,,,988002,3775,,,,Africa,,,,3775,2022,3465,2020,3426,2020
DMA,Dominica,2020,0.139,1.934,,,,,,,,,,0.139,1.934,,,-11.51,-0.018,,,,,,4.807,,,,,4.807,,,0,,,,,0,,0,,,,,0,,,,,,,,,,71991,8575,,,,North America,,,,8575,2022,7038,2020,7268,2020
DOM,Dominican Republic,2020,27.769,2.56,,2.047,0.189,7.539,0.695,,,2.479,0.229,15.704,1.448,,,0.91,0.249,,,,,,747.717,51.253,57.718,,27.315,611.431,,,0.08,0.13,0.05,,0.03,0.14,,0.04,0.12,0.01,,0.01,0.1,,,,,,,,,,10847904,10259,,,,North America,,,,10259,2022,7268,2020,7268,2020
ECU,Ecuador,2020,30.932,1.753,,2.287,0.13,,,1.246,0.071,1.083,0.061,26.316,1.492,,,-15.85,-5.826,,,,,,1197.709,66.504,,59.532,32.92,1038.753,,,0.09,0.14,,0.29,0.01,0.24,,0.07,0.15,,0.33,0.01,0.18,,,,,,,,,,17643060,6412,,,,South America,,,,6412,2022,5600,2020,5600,2020
EGY,Egypt,2020,213.457,2.086,,18.135,0.177,0.379,0.004,,,99.613,0.973,95.33,0.932,,,-5.5,-12.425,,,,,,6314.498,528.638,133.525,,1973.88,3658.248,,,0.61,1.12,0,,1.35,0.86,,0.37,1.22,0.02,,0.8,0.62,,,,,,,,,,102334403,4162,,,,Africa,,,,4162,2022,3609,2020,3548,2020
SLV,El Salvador,2020,6.124,0.944,,0.388,0.06,0.004,0.001,,,,,5.732,0.884,,,-10.64,-0.729,,,,,,231.87,18.028,0.101,,,213.74,,,0.02,0.02,0,,,0.05,,0.01,0.04,0,,,0.04,,,,,,,,,,6486201,4689,,,,North America,,,,4689,2022,3799,2020,3799,2020
GNQ,Equatorial Guinea,2020,10.265,7.317,,,,,,5.818,4.147,3.517,2.507,0.93,0.663,,,-0.04,-0.005,,,,,,179.476,,,90.482,62.8,26.193,,,0.03,,,1.34,0.05,0.01,,0.01,,,0.51,0.03,0,,,,,,,,,,1402985,10902,,,,Africa,,,,10902,2022,7143,2020,7143,2020
ERI,Eritrea,2020,0.722,0.204,,0.108,0.031,,,,,,,0.614,0.173,,,-13.48,-0.113,,,,,,17.899,1.273,,,,16.626,,,0,0.01,,,,0.01,,0,0,,,,0,,,,,,,,,,3546427,701,,,,Africa,,,,701,2022,588,2020,643,2011
EST,Estonia,2020,10.452,7.88,,0.295,0.223,6.126,4.618,0,0,0.834,0.628,3.118,2.35,0.079,0.06,-15.57,-1.928,,,,,,1630.194,22.437,1166.515,2.842,72.674,363.514,2.213,,0.03,0.02,0.04,0,0.01,0.03,0.03,0.1,0.05,0.15,0.02,0.03,0.06,0.02,,,,,,,,,1326539,27971,,,,Europe,,,,27971,2022,23106,2020,23027,2020
SWZ,Eswatini,2020,0.956,0.824,,,,0.13,0.112,,,,,0.825,0.712,,,-5.64,-0.057,,,,,,40.69,,20.435,,,20.254,,,0,,0,,,0.01,,0,,0,,,0,,,,,,,,,,1160164,4036,,,,Africa,,,,4036,2022,3306,2020,3416,2020
ETH,Ethiopia,2020,14.665,0.128,,3.604,0.031,1.453,0.013,,,,,9.608,0.084,,,-10.42,-1.706,,,,,,258.571,36.82,12.094,,,209.657,,,0.04,0.22,0.01,,,0.09,,0.02,0.09,0,,,0.04,,,,,,,,,,114963583,1040,,,,Africa,,,,1040,2022,840,2020,936,2020
FRO,Faeroe Islands,2020,0.684,13.996,,,,,,,,,,0.684,13.996,,,-7.08,-0.052,,,,,,30.637,,,,,30.399,,,0,,,,,0.01,,0,,,,,0.01,,,,,,,,,,48865,64225,,,,Europe,,,,64225,,,,,
FJI,Fiji,2020,1.393,1.554,,0.055,0.061,,,,,,,1.339,1.494,,,0.13,0.002,,,,,,49.429,2.413,,,,45.126,,,0,0,,,,0.01,,0,0.01,,,,0.01,,,,,,,,,,896444,5685,,,,Oceania,,,,5685,2022,5013,2020,4882,2020
